,City,Country,Date,Lat,Lng,Humidity,Cloudiness,Max Temp,Wind Speed
215,mecca,SA,2020-05-15,21.43,39.83,25,0,308.33,2.32
216,tual,ID,2020-05-15,-5.67,132.75,78,8,302.13,7.11
217,sao joao da barra,BR,2020-05-15,-21.64,-41.05,91,100,294.61,4.14
218,olginskaya,RU,2020-05-15,47.19,39.95,82,40,289.15,7.0
219,tsevie,TG,2020-05-15,6.43,1.21,88,20,300.15,0.5
220,wattegama,LK,2020-05-15,6.8,81.48,62,83,305.91,0.68
221,pangkalanbuun,ID,2020-05-15,-2.68,111.62,97,100,298.38,1.16
222,qaqortoq,GL,2020-05-15,60.72,-46.03,31,86,283.15,6.7
223,northam,GB,2020-05-15,51.03,-4.22,80,0,280.93,3.13
224,rundu,NA,2020-05-15,-17.93,19.77,66,0,282.15,1.0
225,haines junction,CA,2020-05-15,60.75,-137.51,62,60,281.44,1.79
226,esperance,AU,2020-05-15,-33.87,121.9,18,0,300.15,7.7
227,sai buri,TH,2020-05-15,6.7,101.62,70,20,305.15,4.6
228,palmer,US,2020-05-15,42.16,-72.33,87,90,285.37,2.1
229,comodoro rivadavia,AR,2020-05-15,-45.87,-67.5,66,71,284.15,6.2
230,vestmanna,FO,2020-05-15,62.16,-7.17,60,59,277.15,2.1
231,japura,ID,2020-05-15,-0.32,102.35,54,99,306.75,1.55
232,flin flon,CA,2020-05-15,54.77,-101.86,91,34,270.65,2.13
233,liverpool,GB,2020-05-15,53.41,-2.98,81,31,283.15,3.1
234,berezovyy,RU,2020-05-15,51.67,135.7,62,94,286.69,1.32
235,praia da vitoria,PT,2020-05-15,38.73,-27.07,93,75,289.15,4.67
236,isangel,VU,2020-05-15,-19.55,169.27,67,6,296.58,2.08
237,gazojak,TM,2020-05-15,41.19,61.4,24,73,298.73,5.19
238,makakilo city,US,2020-05-15,21.35,-158.09,69,1,299.15,3.1
239,jiexiu,CN,2020-05-15,37.02,111.91,21,11,302.99,6.43
240,yaan,NG,2020-05-15,7.38,8.57,85,97,298.77,3.1
241,kavaratti,IN,2020-05-15,10.57,72.64,66,40,305.15,6.2
242,camana,PE,2020-05-15,-16.62,-72.71,79,55,291.18,3.59
243,kavieng,PG,2020-05-15,-2.57,150.8,75,98,301.42,2.82
244,westerland,DE,2020-05-15,54.91,8.3,81,78,282.15,8.7
245,lamu,KE,2020-05-15,-2.27,40.9,85,56,300.54,5.53
246,pundaguitan,PH,2020-05-15,6.37,126.17,71,46,302.63,3.41
247,hoima,UG,2020-05-15,1.44,31.34,87,10,294.72,1.1
248,ahipara,NZ,2020-05-15,-35.17,173.17,78,93,288.53,3.37
249,codajas,BR,2020-05-15,-3.84,-62.06,97,48,295.7,0.57
250,panji,ID,2020-05-15,-7.73,114.1,54,87,305.58,3.23
251,carndonagh,IE,2020-05-15,55.25,-7.27,81,100,281.1,3.75
252,thompson,CA,2020-05-15,55.74,-97.86,92,40,269.15,1.0
253,homer,US,2020-05-15,59.64,-151.55,70,40,282.15,4.1
254,mount gambier,AU,2020-05-15,-37.83,140.77,54,90,287.15,2.6
255,ayagoz,KZ,2020-05-15,47.97,80.44,47,96,296.41,10.73
256,grand gaube,MU,2020-05-15,-20.01,57.66,64,5,299.82,3.13
257,klaksvik,FO,2020-05-15,62.23,-6.59,60,36,277.15,2.1
258,dingle,PH,2020-05-15,11.0,122.67,58,100,306.38,5.17
259,suba,PH,2020-05-15,10.84,121.01,74,98,303.12,5.25
260,mangrol,IN,2020-05-15,21.12,70.12,51,1,305.24,5.24
261,najran,SA,2020-05-15,17.49,44.13,24,5,301.15,1.5
262,huilong,CN,2020-05-15,31.81,121.66,69,100,307.04,0.45
263,kysyl-syr,RU,2020-05-15,63.9,122.76,77,100,281.06,4.76
264,sitka,US,2020-05-15,57.05,-135.33,71,40,284.15,0.34
265,victoria,HK,2020-05-15,22.29,114.16,59,74,304.82,5.81
266,hambantota,LK,2020-05-15,6.12,81.12,72,71,303.72,5.82
267,jungapeo,MX,2020-05-15,19.45,-100.48,44,2,289.82,1.54
268,guican,CO,2020-05-15,6.46,-72.41,79,100,281.85,1.58
269,tommot,RU,2020-05-15,58.96,126.29,45,77,287.72,2.11
270,new london,US,2020-05-15,41.36,-72.1,93,90,284.82,2.6
271,caxias,PT,2020-05-15,38.7,-9.28,93,20,285.93,3.1
272,lucea,JM,2020-05-15,18.45,-78.17,83,20,299.15,0.5
273,ust-kut,RU,2020-05-15,56.79,105.77,40,5,284.52,4.7
274,turkistan,KZ,2020-05-15,43.0,68.0,36,90,296.58,1.59
275,saint anthony,US,2020-05-15,45.02,-93.22,47,1,288.15,3.6
276,great malvern,GB,2020-05-15,52.11,-2.33,88,0,277.59,2.19
277,jalu,LY,2020-05-15,29.03,21.55,14,0,300.9,2.71
278,batemans bay,AU,2020-05-15,-35.72,150.18,63,0,288.15,2.03
279,hobyo,SO,2020-05-15,5.35,48.53,63,2,303.56,8.13
280,tumut,AU,2020-05-15,-35.3,148.22,64,0,287.15,0.84
281,kisangani,CD,2020-05-15,0.52,25.2,85,66,297.15,0.78
282,chilliwack,CA,2020-05-15,49.17,-121.94,81,75,285.15,2.1
283,kidal,ML,2020-05-15,18.44,1.41,21,20,303.9,3.43
284,rocha,UY,2020-05-15,-34.48,-54.33,78,37,278.8,2.79
285,georgetown,MY,2020-05-15,5.41,100.34,75,20,305.15,4.1
286,raahe,FI,2020-05-15,64.68,24.48,64,5,279.82,4.6
287,kabale,UG,2020-05-15,-1.25,29.99,79,21,291.7,0.62
288,pevek,RU,2020-05-15,69.7,170.31,86,0,274.44,2.15
289,anadyr,RU,2020-05-15,64.75,177.48,64,40,276.15,7.0
290,namatanai,PG,2020-05-15,-3.67,152.43,77,89,301.42,2.92
291,mwinilunga,ZM,2020-05-15,-11.74,24.43,54,0,288.76,1.96
292,sabang,ID,2020-05-15,5.89,95.32,72,74,302.26,1.16
293,acapulco,MX,2020-05-15,16.86,-99.89,88,5,299.15,1.5
294,haghartsin,AM,2020-05-15,40.78,44.97,50,3,292.0,0.1
295,traverse city,US,2020-05-15,44.76,-85.62,81,40,285.15,1.65
296,udachnyy,RU,2020-05-15,66.42,112.4,60,90,277.15,5.0
297,saint george,US,2020-05-15,37.1,-113.58,24,1,292.59,3.1
298,katsuura,JP,2020-05-15,35.13,140.3,52,98,299.82,2.24
299,nador,MA,2020-05-15,35.17,-2.93,87,100,287.15,4.1
300,impfondo,CG,2020-05-15,1.64,18.07,87,98,297.36,0.21
301,nichinan,JP,2020-05-15,31.6,131.37,73,75,296.15,4.1
302,atar,MR,2020-05-15,20.52,-13.05,24,0,295.43,5.79
303,komsomolskiy,UZ,2020-05-15,40.43,71.72,45,12,293.15,3.1
304,warrington,GB,2020-05-15,53.39,-2.58,81,27,283.15,3.1
305,bambous virieux,MU,2020-05-15,-20.34,57.76,73,20,299.82,3.1
306,bredasdorp,ZA,2020-05-15,-34.53,20.04,71,17,287.15,3.6
307,naze,JP,2020-05-15,28.37,129.48,83,75,299.15,6.7
308,katherine,AU,2020-05-15,-14.47,132.27,22,2,306.15,6.7
309,moanda,GA,2020-05-15,-1.56,13.22,100,40,295.15,1.0
310,zigong,CN,2020-05-15,29.34,104.78,42,0,303.41,2.71
311,concordia,AR,2020-05-15,-31.39,-58.02,95,0,279.26,2.31
312,balkhash,KZ,2020-05-15,46.84,74.98,72,75,290.15,7.0
313,jagdalpur,IN,2020-05-15,19.07,82.03,22,0,311.93,2.28
314,wukari,NG,2020-05-15,7.85,9.78,82,100,299.64,2.71
315,basco,PH,2020-05-15,20.45,121.97,81,70,302.04,6.19
316,ngawen,ID,2020-05-15,-7.0,111.31,61,100,304.35,2.76
317,ixtapa,MX,2020-05-15,20.7,-105.2,37,29,293.81,1.26
318,port keats,AU,2020-05-15,-14.25,129.55,46,19,305.37,2.2
319,coquimbo,CL,2020-05-15,-29.95,-71.34,87,5,284.15,2.6
320,yanaul,RU,2020-05-15,56.27,54.93,46,68,285.34,0.8
321,genhe,CN,2020-05-15,50.78,121.52,23,87,293.87,4.67
322,chipinge,ZW,2020-05-15,-20.19,32.62,85,47,288.16,0.87
323,leopold,AU,2020-05-15,-38.18,144.47,62,3,287.59,3.6
324,freeport,US,2020-05-15,40.66,-73.58,76,75,287.59,3.1
325,nelson bay,AU,2020-05-15,-32.72,152.15,82,90,289.15,5.7
326,krasnoarmeysk,RU,2020-05-15,51.02,45.7,65,100,283.71,1.79
327,betioky,MG,2020-05-15,-23.72,44.38,61,0,294.1,1.22
328,fort nelson,CA,2020-05-15,58.81,-122.7,74,75,274.15,1.0
329,fairbanks,US,2020-05-15,64.84,-147.72,19,75,286.15,4.6
330,champaign,US,2020-05-15,40.13,-88.2,77,1,292.15,6.7
331,kyren,RU,2020-05-15,51.68,102.14,47,76,281.87,3.26
332,sept-iles,CA,2020-05-15,50.2,-66.38,60,5,277.15,3.6
333,tagusao,PH,2020-05-15,9.19,117.81,70,21,303.74,1.93
334,beyneu,KZ,2020-05-15,45.32,55.2,48,40,294.69,3.69
335,saskylakh,RU,2020-05-15,71.92,114.08,98,64,273.1,1.85
336,mwaro,BI,2020-05-15,-3.5,29.67,89,68,290.27,1.72
337,vedeno,RU,2020-05-15,42.97,46.09,63,41,291.15,1.0
338,aleksandrov gay,RU,2020-05-15,50.15,48.57,51,67,287.81,4.92
339,todos santos,MX,2020-05-15,23.45,-110.22,84,0,289.26,0.89
340,rosetta,EG,2020-05-15,31.4,30.42,83,48,294.15,3.1
341,lagunas,PE,2020-05-15,-5.23,-75.68,91,0,296.43,0.18
342,falam,MM,2020-05-15,22.92,93.68,37,45,299.33,0.26
343,ayan,RU,2020-05-15,56.45,138.17,96,100,273.57,8.23
344,nongstoin,IN,2020-05-15,25.52,91.27,49,9,298.12,3.49
345,vestmannaeyjar,IS,2020-05-15,63.44,-20.27,87,99,281.07,4.37
346,mar del plata,AR,2020-05-15,-38.0,-57.56,81,88,284.26,8.2
347,sakakah,SA,2020-05-15,29.97,40.21,12,40,302.15,2.6
348,blackwater,AU,2020-05-15,-23.58,148.88,36,81,297.61,4.52
349,port hardy,CA,2020-05-15,50.7,-127.42,87,75,282.15,1.0
350,hovd,MN,2020-05-15,48.01,91.64,30,14,291.36,3.77
351,bara,NG,2020-05-15,10.37,10.73,54,85,303.07,5.92
352,beira,MZ,2020-05-15,-19.84,34.84,93,20,292.15,2.6
353,inirida,CO,2020-05-15,3.87,-67.92,97,27,296.45,0.63
354,ocean city,US,2020-05-15,39.28,-74.57,72,90,290.15,2.6
355,kissidougou,GN,2020-05-15,9.18,-10.1,95,98,295.43,0.22
356,paamiut,GL,2020-05-15,61.99,-49.67,56,100,280.95,6.38
357,tiksi,RU,2020-05-15,71.69,128.87,97,99,273.5,3.16
358,puquio,PE,2020-05-15,-14.7,-74.13,53,97,280.95,1.71
359,coevorden,NL,2020-05-15,52.66,6.74,86,0,279.82,0.45
360,santander,ES,2020-05-15,43.46,-3.8,100,90,287.59,4.45
361,kotovo,RU,2020-05-15,50.32,44.8,71,100,284.69,6.77
362,constantine,DZ,2020-05-15,36.37,6.61,87,100,286.15,1.5
363,santo tomas,PH,2020-05-15,14.11,121.14,88,90,302.04,5.7
364,neustadt,DE,2020-05-15,49.71,12.09,75,1,280.93,3.52
